keyword,location,page,position,company,companyRating,companyReviewCount,highlyRatedEmployer,jobkey,jobTitle,jobLocationCity,jobLocationPostal,jobLocationState,maxSalary,minSalary,salaryType,pubDate,jobDescription
software engineer,California,6,8,TikTok,3.5,153,,a346751c5eaefb1a,Frontend Software Engineer Graduate (Trust and Safety Engineering) - 2024 Start (BS/MS),San Jose,,CA,0,0,none,1691730000000,
software engineer,California,6,9,TikTok,3.5,153,,2d282ef246031a60,Software Engineer Graduate (Monetization Technology - Creative and Ecosystem)- 2024 Start (BS/MS),San Jose,,CA,0,0,none,1692853200000,
software engineer,California,6,10,LiveRamp,3.3,4,,510fd121efa5f0a3,Software Engineer,San Francisco,,CA,0,0,none,1693458000000,
software engineer,California,6,11,Apple,4.1,12265,,fe38d9bbae7b610f,Junior Software Development Engineer - Apple Vision Pro,Cupertino,,CA,0,0,none,1680930000000,
software engineer,California,6,12,Oracle,3.8,6958,,b804628d021366c8,C++ Senior Software Engineer,Santa Clara,95054,CA,167911.9,132608.5,167911.9,1694667600000,
software engineer,California,6,13,Kforce,3.8,1879,,0c9a63dd86f903b6,On-Prem Software DevOps Engineer,San Diego,92101,CA,0,0,none,1681966800000,
software engineer,California,6,14,"Zoom Video Communications, Inc.",3.8,21,,53f18c02cb0fb5eb,Software Development Engineer,San Jose,95113,CA,0,0,none,1694581200000,
software engineer,California,2,0,Adobe,4.3,776,,db730803350e6744,2024 University Graduate - Software Engineer,San Jose,95110,CA,0,0,none,1694062800000,
software engineer,California,2,1,Reli.,4.8,6,,4eff2b9d7398a8e5,Junior Software Developer (Python) (Hybrid Remote),Los Angeles,,CA,0,0,none,1694754000000,
software engineer,California,2,2,Advantage xPO,3.6,82,,dc25c5fe4bd8ce90,Embedded Software Engineer,Palo Alto,94303,CA,0,0,none,1685595600000,
software engineer,California,2,3,"Ursus, Inc.",4.8,24,,32655502b642fcb8,Software Engineer V,Menlo Park,94025,CA,0,0,none,1692594000000,
software engineer,California,2,4,Adobe,4.3,776,,242db85f4eda3990,2024 University Graduate - Software Engineer,San Jose,95110,CA,0,0,none,1694149200000,
software engineer,California,2,5,Verkada,3.3,9,,a3ea45daca754815,Frontend Software Engineer - University Graduate 2024,San Mateo,,CA,0,0,none,1693285200000,
software engineer,California,2,6,Northrop Grumman,4,6909,,8969857f6cdf3ccd,Manager Software Engineering 2 - NG Space Systems,Redondo Beach,90278,CA,0,0,none,1684904400000,
software engineer,California,2,7,Pinterest,3.9,38,,4a60afeecb5cf9db,"Software Engineer, Backend",San Francisco,,CA,209845.8,165725.8,209845.8,1694494800000,
software engineer,California,2,8,RippleMatch Opportunities,4,28,,d3f626e56943cf18,"Figma - Software Engineer, Early Career (2024), application via RippleMatch",San Francisco,,CA,93130.39,73549.766,93130.39,1692594000000,
software engineer,California,2,9,ServiceNow,3.7,236,,29b5f1c9ff237428,UTG - Software Engineer - New College Grad,Santa Clara,95054,CA,0,0,none,1694494800000,
software engineer,California,2,10,Salesforce,4.3,1077,,b437147f8ba1379e,AMTS Software Engineer,San Francisco,94105,CA,0,0,none,1694754000000,
software engineer,California,2,11,Raytheon,3.9,1399,,a1e4c7716337e32b,Senior Principal Software Engineer (Onsite),El Segundo,90245,CA,0,0,none,1694149200000,
software engineer,California,2,12,Albertsons Companies,3.6,7390,,c81a47088cfba0f9,Software Engineer,Pleasanton,94588,CA,0,0,none,1694149200000,
software engineer,California,2,13,VSP Global,3.7,259,,75959585e3815b0d,Software Engineer,,,CA,0,0,none,1694408400000,
software engineer,California,2,14,Adobe,4.3,776,,686e83f57db3c591,Software Development Engineer,San Jose,95110,CA,0,0,none,1694581200000,
software engineer,California,4,0,Northrop Grumman,4,6909,,63190243e79eb478,Software Engineering Manager 2,San Diego,,CA,0,0,none,1685422800000,
software engineer,California,4,1,Prelim,4.5,2,,d1137a00845057ca,Software Engineer,San Francisco,,CA,0,0,none,1686459600000,
software engineer,California,4,2,Hatch IT,0,0,,c70101e14bfcc4d1,Software Engineer (Frontend),San Francisco,,CA,0,0,none,1692680400000,
software engineer,California,4,3,Lewiz communications,4.5,2,,3ffa229dacbb6538,Jr. Software Engineer,San Jose,95157,CA,141063.88,111405.25,141063.88,1552626000000,
software engineer,California,4,4,Verkada,3.3,9,,8a1db620bc403946,Security Software Engineer - University Graduate 2024,San Mateo,,CA,0,0,none,1693285200000,
software engineer,California,4,5,PayPal,3.9,1750,,48b045269b4c2723,Software Engineer 2,San Jose,,CA,135130.08,106719.03,135130.08,1693630800000,
software engineer,California,4,6,Cadence Design Systems,4.2,228,,ef1a0fde3a77bd4d,Software Engineer,San Jose,,CA,0,0,none,1693976400000,
software engineer,California,4,7,Crosswire,0,0,,4dc1d6c3db2d5d92,Backend Software Engineer,San Francisco,,CA,0,0,none,1663045200000,
software engineer,California,4,8,AppLovin,4.6,5,,73f6c9b0826f5280,"Software Engineer II, C++ Backend",Palo Alto,94301,CA,0,0,none,1692334800000,
software engineer,California,4,9,Adobe,4.3,776,,ef959328306445e8,Software Development Engineer,San Jose,95110,CA,0,0,none,1690779600000,
software engineer,California,4,10,Adobe,4.3,776,,76cd0fe57f357f9c,Software Development Engineer,San Jose,95110,CA,0,0,none,1683090000000,
software engineer,California,4,11,Salesforce,4.3,1077,,bb395a6584f5d8fe,Software Engineering MTS,San Francisco,94105,CA,0,0,none,1694149200000,
software engineer,California,4,12,Salesforce,4.3,1077,,cd553f9f1aaa6f7d,Software Engineer LMTS,San Francisco,,CA,0,0,none,1694149200000,
software engineer,California,4,13,EverCharge,0,0,,b46d33d555be07a9,Senior Embedded Engineer,Palo Alto,94306,CA,0,0,none,1687842000000,
software engineer,California,4,14,Workday,3.9,160,,6e04a1ed98d272f9,Software Development Engineer - Recruiting Development,Pleasanton,,CA,0,0,none,1694581200000,
software engineer,California,3,0,Hewlett Packard Enterprise,3.8,5038,,3ec13fec4b1b28e6,Software Engineering Graduate,Roseville,95747,CA,0,0,none,1693458000000,
software engineer,California,3,1,Adobe,4.3,776,,44418cc6bc111daf,Software Development Engineer,San Jose,95110,CA,0,0,none,1691989200000,
software engineer,California,3,2,Applied Intuition,0,0,,3856c56b976a9d5d,Junior Software Engineer,Mountain View,,CA,0,0,none,1694754000000,
software engineer,California,3,3,Resmatic Inc.,0,0,,f987180e50415756,html Coder,Sebastopol,,CA,92584.86,73118.94,92584.86,1546322400000,
software engineer,California,3,4,Edmunds.com,3.4,49,,389262f53a44ba06,Software Engineer,Santa Monica,90404,CA,0,0,none,1689138000000,
