keyword,location,page,position,company,companyRating,companyReviewCount,highlyRatedEmployer,jobkey,jobTitle,jobLocationCity,jobLocationPostal,jobLocationState,maxSalary,minSalary,salaryType,pubDate,jobDescription
software engineer,California,1,0,Adobe,4.3,776,,5464c1565510e0f3,2024 University Graduate - Software Engineer,San Jose,95110,CA,0,0,none,1694581200000,
software engineer,California,1,1,Adobe,4.3,776,,6a030c21255bf55c,2024 University Graduate - Software Engineer,San Jose,95110,CA,0,0,none,1694149200000,
software engineer,California,1,2,Adobe,4.3,776,,242db85f4eda3990,2024 University Graduate - Software Engineer,San Jose,95110,CA,0,0,none,1694149200000,
software engineer,California,1,3,Verkada,3.3,9,,a3ea45daca754815,Frontend Software Engineer - University Graduate 2024,San Mateo,,CA,0,0,none,1693285200000,
software engineer,California,1,4,Cadence Design Systems,4.2,228,,67b3727f74b62965,Software Engineer - New Graduate,San Jose,,CA,0,0,none,1694149200000,
software engineer,California,1,5,Pinterest,3.9,38,,4a60afeecb5cf9db,"Software Engineer, Backend",San Francisco,,CA,209845.8,165725.8,209845.8,1694494800000,
software engineer,California,1,6,Lytx,3.4,41,,aacde8139b699ffe,Software Engineer I,San Diego,,CA,0,0,none,1694408400000,
software engineer,California,1,7,Hewlett Packard Enterprise,3.8,5038,,3ec13fec4b1b28e6,Software Engineering Graduate,Roseville,95747,CA,0,0,none,1693458000000,
software engineer,California,1,8,ServiceNow,3.7,236,,29b5f1c9ff237428,UTG - Software Engineer - New College Grad,Santa Clara,95054,CA,0,0,none,1694494800000,
software engineer,California,1,9,VSP Global,3.7,259,,75959585e3815b0d,Software Engineer,,,CA,0,0,none,1694408400000,
software engineer,California,1,10,Albertsons Companies,3.6,7390,,c81a47088cfba0f9,Software Engineer,Pleasanton,94588,CA,0,0,none,1694149200000,
software engineer,California,1,11,Wells Fargo,3.7,44890,,a553d1c7985748d1,2024 Technology Early Career Development Program (Software or Data Engineer),San Francisco,,CA,0,0,none,1691557200000,
software engineer,California,1,12,Resmatic Inc.,0,0,,f987180e50415756,html Coder,Sebastopol,,CA,92584.86,73118.94,92584.86,1546322400000,
software engineer,California,1,13,Oracle,3.8,6958,,a41f0fe77ce965db,Software Developer 4,,,CA,132994.66,105032.586,132994.66,1693198800000,
software engineer,California,1,14,Adobe,4.3,776,,686e83f57db3c591,Software Development Engineer,San Jose,95110,CA,0,0,none,1694581200000,
software engineer,California,6,0,INTEL,4.1,6109,,05177bf8ea28f11b,System Software Engineer - Intel Foundry,Santa Clara,,CA,0,0,none,1694494800000,
software engineer,California,6,1,Salesforce,4.3,1077,,bb395a6584f5d8fe,Software Engineering MTS,San Francisco,94105,CA,0,0,none,1694149200000,
software engineer,California,6,2,VMware,4.1,1048,,0266fd176324c33a,"Software Engineer - vSAN Palo Alto, CA",Palo Alto,,CA,166551.52,131534.14,166551.52,1694149200000,
software engineer,California,6,3,Northrop Grumman,4,6909,,a95c7cde2d6b1d35,Principal (3) or Sr. Principal (4) Embedded Software Engineer - Active Clearance (AHT),Northridge,91324,CA,0,0,none,1689570000000,
software engineer,California,6,4,Apple,4.1,12265,,088167220a97ee92,Junior Software Development Engineer - Apple Vision Pro,Cupertino,,CA,0,0,none,1694149200000,
software engineer,California,6,5,Apple,4.1,12265,,b440fb631a4e2b00,Location Software Engineer,San Diego,,CA,0,0,none,1692766800000,
software engineer,California,6,6,TikTok,3.5,153,,a6372dd32a50e7bf,Software Engineer Graduate (Monetization Technology - Apps Ads & Gaming) - 2024 Start (BS/MS/PhD),San Jose,,CA,0,0,none,1692766800000,
software engineer,California,6,7,StratEdge,5,2,,c3e8920da56d74cf,Software Engineer,San Ramon,94583,CA,146409.56,115627.01,146409.56,1693544400000,
software engineer,California,6,8,Nektar,2.8,6,,d2a25467a9bdda39,Software Development Engineer - Backend,San Francisco,,CA,116274.445,91827.79,116274.445,1666933200000,
software engineer,California,6,9,Decision Sciences International Corporation,4,2,,fdfd86c4efc2b53a,Senior Software Engineer (React),Poway,,CA,0,0,none,1693112400000,
software engineer,California,6,10,Salesforce,4.3,1077,,9390af255a552cc6,Full Stack Software Engineer,San Francisco,,CA,0,0,none,1693458000000,
